SrNo,Name,RegNo,State,City,Address,PIN,SectorWorking
3,Abalamban,1500,Tripura, Agartala ,"Abalamban,""Apnaghar"",Airport Road,Barjala(Near Trtc Workshop),Agartala,Tripura,Pin-799002",799002,"Environment & Forests,Vocational Training,Women's Development & Empowerment"
4,Abhel Hoda Kalyan Samity,5551,Tripura, Amarpur ,Taidu Bari,,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Civic Issues,Differently Abled,Environment & Forests,Health & Family Welfare,Legal Awareness & Aid,Micro Finance (SHGs),Minority Issues,Sports,Tribal Affairs,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs"
5,Abhigyan Ex Navodayan Foundation,8860,Tripura, Kamalpur ,"Ward No 3, Kamalpur, P.O.Kamalpurp.S.Kamalpur, Distdhalai, Pin799285",799285,"Art & Culture,Children,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Nutrition,Rural Development & Poverty Alleviation,Sports,Vocational Training,Skill Development"
6,Abhimukh - Socio Cultural Organization,7845,Tripura, Udaipur ,"Chanban, P.O- R.K.Pur",,NaN
7,Abhoy Mission,1947 under 1860 Socities Act,Tripura, Agartala ,"Abhoy Mission, Ramnagar Road No. 1, P.O- Ramnagar, Agartala, Tripura - 799002.",799002,"Children,Differently Abled,Education & Literacy,Aged/Elderly,Vocational Training,Women's Development & Empowerment"
8,Abohomaan,8222 of 2019,Tripura, Kailashahar ,"Boulapassa, P.Okailashahar, Kailashahar, Unakoti District, Tripura",,NaN
9,Achin Baba Sangha,3231,Tripura, Udaipur ,Registered Address- Vill,,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Differently Abled,Drinking Water,Education & Literacy,Environment & Forests,Health & Family Welfare,Labour & Employment,Micro Small & Medium Enterprises,Women's Development & Empowerment,Skill Development"
10,Adarsha Sangha,3196,Tripura, Dharmanagar ,"Vill-Dewanpasha, Po-Dewanpasha, Ps-Dharmanagar",,"Animal Husbandry, Dairying  &  Fisheries,Agriculture,Art & Culture,Children,Disaster Management,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Information & Communication Technology,Legal Awareness & Aid,Labour & Employment,Micro Finance (SHGs),Micro Small & Medium Enterprises,New & Renewable Energy,Panchayati Raj,Rural Development & Poverty Alleviation,Science & Technology,Sports,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment"
1,   Radhakanta Es Institute Of Computer Technology,40241200175,Orissa, Baleswar ,"At/Po/Ps- Simulia, Dist- Balasore",,Vocational Training
2,24Mahakal Help Foundation,U853200R2020NPL034578,Orissa, Jagatsinghpur ,"Santara, Kujang,Jagatsinghpur,Odisha,754141",754141,"Children,Environment & Forests,Health & Family Welfare,Human Rights,Rural Development & Poverty Alleviation,Women's Development & Empowerment,Youth Affairs,Drinking Water,HIV/AIDS,Sports,Vocational Training"
3,2Nd Universe,41711401490,Orissa, Rourkela ,B 55 Koelnagar Rourkela,,"Children,Education & Literacy,Aged/Elderly,Micro Finance (SHGs),Women's Development & Empowerment"
4,360 Degree Social And Educational Trust,41132211801,Orissa, Bhubaneswar ,"House No- S2/438(B), Lane No- 15, Satya Sai Enclave, Po- Khandagiri, Khorda",,Education & Literacy
5,3Rd Eye Foundation,039980,Orissa, Bhubaneswar ,"Flat No.401, Shanti Nivas, Bomikhal, Rasulgarh,Bhubaneswar-751010",751010,"Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Nutrition,Science & Technology,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs,Any Other,Skill Development"
6,3Rd Eye Foundation,41081900647,Orissa, Bhubaneswar ,"401,Shanti Nivas,Bomikhalnear Esplanade Mall,Rasulgarh",,"Micro Small & Medium Enterprises,Housing,Education & Literacy,Information & Communication Technology,Legal Awareness & Aid,Any Other"
7,4A Art Education Training And Entertainment Foundation,U80900OR2019NPL031616,Orissa, Bhubaneswar ,"Flat No-G10 / B6, Hitech Plaza Appartmen, Madhipur,Bhubaneswar, Khordha, Orissa, India, 751002",751002,"Art & Culture,Education & Literacy,Environment & Forests,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Women's Development & Empowerment,Any Other,Skill Development"
8,5T Foundation,U85300OR2021NPL036958,Orissa, Bhubaneswar ,"Plot No. 453/11, Nuasahi, Nayapalli",,NaN
9,7 Wonders Welfare Trust,1081904747,Orissa, Bhubaneswar ,"Plot No-36/2059, Basanti Nilay, Santha Tulasi Sarovara, Near Nh-16, Pahala, Bhubaneswar.",,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Human Rights,Information & Communication Technology,Micro Finance (SHGs),Panchayati Raj,Science & Technology,Sports,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs"
10,A C O R D,4732/101,Orissa, Dhenkanal ,"At-Gudianalipo/Dist-Dhenkanal,Pin-759001,Odisha",759001,"Education & Literacy,Aged/Elderly,Environment & Forests,HIV/AIDS,Sports,Tribal Affairs,Vocational Training,Women's Development & Empowerment,Youth Affairs"
1,Mizo Hmechhe Insuihkhawm Pawl Tlangmawi Branch,NO 5 OF 1977,Mizoram, Tlangmawi ,Mhip Tlangmawi Branchtlangmawichamphai Dist,,NaN
2,Sazep Bran Mizo Hmeichhe Insuihkhawm Pawl,No. 5 of 1977,Mizoram, Champhai ,Sazep Branch,,Women's Development & Empowerment
3,7 Mountain Bamboo & Natural Materials,MSR 1402 of 08.04.2021,Mizoram, Mizoram ,"C/O King Marketing, House No F/F45World Bank Road, Near Bridgefalkland796017Aizawl, Mizoram",796017,NaN
4,Adullam Society,MSR 394 of 11.10.2011,Mizoram, Aizawl ,"Zuangtui,Ii, Vengsang, Aizawl",,"Women's Development & Empowerment,Animal Husbandry, Dairying  &  Fisheries,Children,Civic Issues,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,Human Rights,Micro Finance (SHGs),Nutrition,Right to Information & Advocacy,Tribal Affairs,Vocational Training"
5,Adventist Hospital Society,SR/MZ_39,Mizoram, Aizawl ,"Seventh Day Tlang, Vaivakawn , Aizawl,Mizoram796009",796009,NaN
6,Agape Moral Reformation Organisation,SR-40 of 1990,Mizoram, Aizawl ,Ropaiabawk Chawlhhmun,,HIV/AIDS
7,Ainawn Society,MSR 765 OF 02.09.2016,Mizoram, Aizawl ,"H.No. B/12Mrf Tyre Showroom Buildingdawrpui Vengtharaizawl, Mizoram-796001",796001,"Agriculture,Food Processing,Any Other"
8,Aizawl Common Service Centre Society,MSR 971 OF 25.09.2018,Mizoram, Aizawl ,"Lk C-8 B, Durtlang Leitan Aizawl",,"Information & Communication Technology,Any Other"
9,Aizawl Diocesan Education Society,SR/MZ-87 OF 2003-04,Mizoram, Aizawl ,"Bishops House,Ramthar Veng",,"Children,Education & Literacy,Vocational Training"
10,Aizawl Football Club,No. S.R. 21 of 1987,Mizoram, Aizawl ,".No.188, Dawrpui West, Aizawl, Mizoram",,Sports
1,Abiogenesis  Socety,Regd No H/RS-2445,Nagaland, Dimapur ,"Abiogenesis Society,Mamias Bliss, 6,Angami Khel,Nuton Bosti",,"Animal Husbandry, Dairying  &  Fisheries,Aged/Elderly,Agriculture,Art & Culture,Children,Civic Issues,Disaster Management,Education & Literacy,Environment & Forests,Health & Family Welfare,HIV/AIDS,Human Rights,Information & Communication Technology,Micro Finance (SHGs),Minority Issues,Micro Small & Medium Enterprises,New & Renewable Energy,Nutrition,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Sports,Tribal Affairs,Tourism,Vocational Training,Women's Development & Empowerment"
2,Abundant Life Foundation,HOME/SRC-6661/2014,Nagaland, Dimapur ,Abundant Life Foundationunited North Blockburma Camp,,"Children,Civic Issues,Differently Abled,Education & Literacy,Aged/Elderly,Health & Family Welfare,HIV/AIDS,Micro Finance (SHGs),Sports,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs"
3,Achemlong Welfare Society,H/RS-2750 ,Nagaland, Noklak ,"Achemlong Welfare Societyc/O Pongombelow D.C. Office, Noklaknagaland 798626",798626,"Children,Education & Literacy"
